study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB18997	SAMEA103885147	ERS1677719	ERX1869286	ERR1806259	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/009/ERR1806259/ERR1806259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/009/ERR1806259/ERR1806259_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/009/ERR1806259/ERR1806259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/009/ERR1806259/ERR1806259_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806259/16596_2#39.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806259/16596_2#39.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806259/16596_2#39.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806259/16596_2#39.cram.crai
PRJEB18997	SAMEA103885390	ERS1677720	ERX1869287	ERR1806260	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/000/ERR1806260/ERR1806260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/000/ERR1806260/ERR1806260_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/000/ERR1806260/ERR1806260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/000/ERR1806260/ERR1806260_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806260/16596_2#40.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806260/16596_2#40.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806260/16596_2#40.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806260/16596_2#40.cram.crai
PRJEB18997	SAMEA103885078	ERS1677721	ERX1869288	ERR1806261	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/001/ERR1806261/ERR1806261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/001/ERR1806261/ERR1806261_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/001/ERR1806261/ERR1806261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/001/ERR1806261/ERR1806261_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806261/16596_2#41.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806261/16596_2#41.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806261/16596_2#41.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806261/16596_2#41.cram.crai
PRJEB18997	SAMEA103885284	ERS1677722	ERX1869289	ERR1806262	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/002/ERR1806262/ERR1806262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/002/ERR1806262/ERR1806262_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/002/ERR1806262/ERR1806262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/002/ERR1806262/ERR1806262_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806262/16596_2#46.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806262/16596_2#46.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806262/16596_2#46.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806262/16596_2#46.cram.crai
PRJEB18997	SAMEA103885059	ERS1677723	ERX1869290	ERR1806263	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/003/ERR1806263/ERR1806263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/003/ERR1806263/ERR1806263_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/003/ERR1806263/ERR1806263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/003/ERR1806263/ERR1806263_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806263/16596_2#47.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806263/16596_2#47.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806263/16596_2#47.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806263/16596_2#47.cram.crai
PRJEB18997	SAMEA103884898	ERS1677724	ERX1869291	ERR1806264	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/004/ERR1806264/ERR1806264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/004/ERR1806264/ERR1806264_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/004/ERR1806264/ERR1806264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/004/ERR1806264/ERR1806264_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806264/16596_2#48.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806264/16596_2#48.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806264/16596_2#48.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806264/16596_2#48.cram.crai
PRJEB18997	SAMEA103885157	ERS1677725	ERX1869292	ERR1806265	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/005/ERR1806265/ERR1806265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/005/ERR1806265/ERR1806265_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/005/ERR1806265/ERR1806265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/005/ERR1806265/ERR1806265_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806265/16596_2#49.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806265/16596_2#49.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806265/16596_2#49.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806265/16596_2#49.cram.crai
PRJEB18997	SAMEA103884943	ERS1677726	ERX1869293	ERR1806266	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/006/ERR1806266/ERR1806266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/006/ERR1806266/ERR1806266_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/006/ERR1806266/ERR1806266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/006/ERR1806266/ERR1806266_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806266/16596_2#58.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806266/16596_2#58.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806266/16596_2#58.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806266/16596_2#58.cram.crai
PRJEB18997	SAMEA103885245	ERS1677727	ERX1869294	ERR1806267	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/007/ERR1806267/ERR1806267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/007/ERR1806267/ERR1806267_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/007/ERR1806267/ERR1806267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/007/ERR1806267/ERR1806267_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806267/16596_2#59.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806267/16596_2#59.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806267/16596_2#59.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806267/16596_2#59.cram.crai
PRJEB18997	SAMEA103885175	ERS1677728	ERX1869295	ERR1806268	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/008/ERR1806268/ERR1806268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/008/ERR1806268/ERR1806268_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/008/ERR1806268/ERR1806268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/008/ERR1806268/ERR1806268_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806268/16596_2#60.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806268/16596_2#60.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806268/16596_2#60.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806268/16596_2#60.cram.crai
PRJEB18997	SAMEA103885322	ERS1677729	ERX1869296	ERR1806269	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/009/ERR1806269/ERR1806269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/009/ERR1806269/ERR1806269_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/009/ERR1806269/ERR1806269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/009/ERR1806269/ERR1806269_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806269/16596_2#61.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806269/16596_2#61.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806269/16596_2#61.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806269/16596_2#61.cram.crai
PRJEB18997	SAMEA103884960	ERS1677730	ERX1869297	ERR1806270	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/000/ERR1806270/ERR1806270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/000/ERR1806270/ERR1806270_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/000/ERR1806270/ERR1806270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/000/ERR1806270/ERR1806270_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806270/16596_2#66.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806270/16596_2#66.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806270/16596_2#66.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806270/16596_2#66.cram.crai
PRJEB18997	SAMEA103885294	ERS1677731	ERX1869298	ERR1806271	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/001/ERR1806271/ERR1806271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/001/ERR1806271/ERR1806271_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/001/ERR1806271/ERR1806271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/001/ERR1806271/ERR1806271_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806271/16596_2#67.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806271/16596_2#67.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806271/16596_2#67.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806271/16596_2#67.cram.crai
PRJEB18997	SAMEA103885316	ERS1677732	ERX1869299	ERR1806272	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/002/ERR1806272/ERR1806272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/002/ERR1806272/ERR1806272_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/002/ERR1806272/ERR1806272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/002/ERR1806272/ERR1806272_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806272/16596_2#68.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806272/16596_2#68.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806272/16596_2#68.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806272/16596_2#68.cram.crai
PRJEB18997	SAMEA103885342	ERS1677733	ERX1869300	ERR1806273	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/003/ERR1806273/ERR1806273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/003/ERR1806273/ERR1806273_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/003/ERR1806273/ERR1806273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/003/ERR1806273/ERR1806273_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806273/16596_2#69.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806273/16596_2#69.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806273/16596_2#69.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806273/16596_2#69.cram.crai
PRJEB18997	SAMEA103885046	ERS1677734	ERX1869301	ERR1806274	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/004/ERR1806274/ERR1806274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/004/ERR1806274/ERR1806274_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/004/ERR1806274/ERR1806274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/004/ERR1806274/ERR1806274_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806274/16596_2#75.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806274/16596_2#75.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806274/16596_2#75.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806274/16596_2#75.cram.crai
PRJEB18997	SAMEA103885318	ERS1677735	ERX1869302	ERR1806275	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/005/ERR1806275/ERR1806275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/005/ERR1806275/ERR1806275_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/005/ERR1806275/ERR1806275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/005/ERR1806275/ERR1806275_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806275/16596_2#76.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806275/16596_2#76.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806275/16596_2#76.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806275/16596_2#76.cram.crai
PRJEB18997	SAMEA103884944	ERS1677736	ERX1869303	ERR1806276	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/006/ERR1806276/ERR1806276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/006/ERR1806276/ERR1806276_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/006/ERR1806276/ERR1806276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/006/ERR1806276/ERR1806276_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806276/16596_2#77.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806276/16596_2#77.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806276/16596_2#77.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806276/16596_2#77.cram.crai
